Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,Brighton,3,3,3,0,3,0,1,1.79083,0.405325,0.0,0.0,0.438,w,3,1.386,1.79083,0.405325,3
2,Brighton,3,6,2,1,5,1,2,2.14153,1.28556,0.0,0.0,1.915,w,3,0.856,3.93236,1.690885,6
3,Brighton,1,7,1,1,6,2,3,1.81748,2.41798,0.0,0.0,1.738,d,1,-0.601,5.74984,4.108865,7
4,Brighton,1,8,0,0,6,2,6,1.75696,0.721323,0.0,0.0,2.095,d,1,1.036,7.5068,4.830188,8
5,Brighton,1,9,2,2,8,4,7,1.56836,1.36923,0.0,0.0,1.51,d,1,0.199,9.07516,6.199418,9
6,Brighton,0,9,2,4,10,8,9,1.20712,3.65839,0.0,0.0,2.552,l,0,-2.451,10.28228,9.857808,9
7,Brighton,3,12,3,2,13,10,6,1.97217,1.09279,0.0,0.0,1.95,w,3,0.879,12.25445,10.950598,12
8,Brighton,3,15,1,0,14,10,5,1.6779,1.93657,0.0,0.0,1.548,w,3,-0.259,13.93235,12.887168,15
9,Brighton,1,16,2,2,16,12,6,1.51347,1.11074,0.0,0.0,1.652,d,1,0.403,15.44582,13.997908,16
10,Brighton,0,16,1,2,17,14,8,1.01568,1.81037,0.0,0.0,1.91,l,0,-0.795,16.4615,15.808278,16
11,Brighton,3,19,2,1,19,15,6,2.87116,2.60334,0.0,0.0,1.547,w,3,0.268,19.33266,18.411618,19
12,Brighton,3,22,2,1,21,16,5,1.23059,1.91157,0.0,0.0,1.821,w,3,-0.681,20.56325,20.323188,22
13,Brighton,1,23,1,1,22,17,4,1.86986,0.934969,0.0,0.0,2.002,d,1,0.935,22.43311,21.258157,23
14,Brighton,0,23,1,3,23,20,5,1.09939,0.666644,0.0,0.0,0.985,l,0,0.433,23.5325,21.924801,23
15,Brighton,1,24,2,2,25,22,7,1.12184,1.42438,0.0,0.0,1.582,d,1,-0.303,24.65434,23.349181,24
16,Brighton,0,24,1,3,26,25,9,1.32323,3.00618,0.0,0.0,0.563,l,0,-1.683,25.97757,26.355361,24
17,Brighton,1,25,1,1,27,26,10,1.34379,1.22937,0.0,0.0,1.287,d,1,0.114,27.321359999999995,27.584731,25
18,Brighton,1,26,0,0,27,26,10,1.33538,0.961233,0.0,0.0,1.637,d,1,0.374,28.65674,28.545964,26
19,Brighton,1,27,2,2,29,28,10,0.938042,1.87997,0.0,0.0,2.006,d,1,-0.942,29.594781999999995,30.425934,27
20,Brighton,1,28,1,1,30,29,10,1.76513,1.81142,0.0,0.0,1.362,d,1,-0.046,31.359911999999994,32.237354,28
21,Brighton,3,31,2,0,32,29,9,1.06343,0.268127,0.0,0.0,0.623,w,3,0.795,32.42334199999999,32.505481,31
22,Brighton,3,34,3,1,35,30,9,2.17172,1.31823,0.0,0.0,0.885,w,3,0.853,34.59506199999999,33.823711,34
23,Brighton,0,34,0,1,35,31,9,0.64378,0.870883,0.0,0.0,1.121,l,0,-0.227,35.23884199999999,34.694594,34
24,Brighton,0,34,0,7,35,38,10,0.756296,4.0677,0.0,0.0,2.794,l,0,-3.311,35.99513799999999,38.762294,34
25,Brighton,3,37,3,0,38,38,10,2.06892,0.649788,0.0,0.0,2.306,w,3,1.419,38.06405799999999,39.412082000000005,37
26,Brighton,3,40,4,0,42,38,8,5.12018,0.154147,0.0,0.0,0.014,w,3,4.966,43.18423799999999,39.56622900000001,40
27,Brighton,3,43,2,1,44,39,8,2.57927,1.70169,0.0,0.0,1.889,w,3,0.878,45.76350799999999,41.267919000000006,43
28,Brighton,3,46,2,1,46,40,7,1.94417,0.708227,0.0,0.0,2.205,w,3,1.236,47.70767799999999,41.97614600000001,46
29,Brighton,1,47,2,2,48,42,7,2.11119,2.02642,0.0,0.0,1.35,d,1,0.085,49.81886799999999,44.00256600000001,47
30,Brighton,0,47,0,3,48,45,8,0.558009,1.20715,0.0,0.0,0.822,l,0,-0.649,50.37687699999999,45.20971600000001,47
31,Brighton,0,47,1,2,49,47,9,1.27226,0.443965,0.0,0.0,0.684,l,0,0.828,51.64913699999999,45.653681000000006,47
32,Brighton,1,48,2,2,51,49,10,3.6978,1.98444,0.0,0.0,2.216,d,1,1.713,55.34693699999999,47.638121000000005,48
33,Brighton,0,48,2,4,53,53,10,1.24107,2.95516,0.0,0.0,2.314,l,0,-1.714,56.58800699999999,50.593281000000005,48
34,Brighton,3,51,3,2,56,55,9,1.29433,1.24134,0.0,0.0,1.404,w,3,0.053,57.88233699999999,51.834621000000006,51
35,Brighton,1,52,1,1,57,56,10,0.687863,1.63777,0.0,0.0,0.706,d,1,-0.95,58.57019999999999,53.47239100000001,52
36,Brighton,3,55,2,0,59,56,9,1.41254,0.73395,0.0,0.0,0.857,w,3,0.679,59.98273999999999,54.20634100000001,55
37,Brighton,3,58,3,2,62,58,8,2.17789,3.065,0.0,0.0,0.973,w,3,-0.887,62.16062999999999,57.27134100000001,58
38,Brighton,3,61,4,1,66,59,8,3.11624,1.85265,0.0,0.0,0.788,w,3,1.264,65.27686999999999,59.123991,61
