Round,Team,MatchPoints,TotalPoints,GF,GA,GoalsForCumulative,GoalsAgainstCumulative,Position,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,Everton,0,0,0,3,0,3,20,0.405325,1.79083,0.0,0.0,0.438,l,0,-1.386,0.405325,1.79083,0
2,Everton,0,0,0,4,0,7,20,0.648869,2.61143,0.0,0.0,2.518,l,0,-1.963,1.054194,4.40226,0
3,Everton,0,0,2,3,2,10,20,2.55629,2.95688,0.0,0.0,1.215,l,0,-0.401,3.610484000000001,7.35914,0
4,Everton,0,0,2,3,4,13,20,0.852158,3.15876,0.0,0.0,2.576,l,0,-2.307,4.462642000000001,10.5179,0
5,Everton,1,1,1,1,5,14,19,1.82377,1.33793,0.0,0.0,1.075,d,1,0.486,6.286412,11.85583,1
6,Everton,3,4,2,1,7,15,16,1.10959,1.12358,0.0,0.0,1.345,w,3,-0.014,7.396002,12.97941,4
7,Everton,1,5,0,0,7,15,16,0.692214,1.79048,0.0,0.0,0.641,d,1,-1.098,8.088216000000001,14.769890000000002,5
8,Everton,3,8,2,0,9,15,16,1.60804,1.174,0.0,0.0,1.083,w,3,0.434,9.696256000000002,15.94389,8
9,Everton,1,9,1,1,10,16,16,0.884845,1.49531,0.0,0.0,0.931,d,1,-0.61,10.581101000000002,17.4392,9
10,Everton,0,9,0,1,10,17,16,1.78581,0.540345,0.0,0.0,0.535,l,0,1.245,12.366911000000002,17.979544999999998,9
11,Everton,1,10,0,0,10,17,16,0.865983,1.1237,0.0,0.0,1.549,d,1,-0.258,13.232894000000002,19.103245,10
12,Everton,1,11,0,0,10,17,15,1.5951,1.34314,0.0,0.0,1.545,d,1,0.252,14.827994000000002,20.446385,11
13,Everton,0,11,0,4,10,21,15,0.766749,1.76161,0.0,0.0,2.063,l,0,-0.995,15.594743000000005,22.207995,11
14,Everton,3,14,4,0,14,21,15,1.49904,0.847724,0.0,0.0,1.839,w,3,0.651,17.093783000000002,23.055719,14
15,Everton,1,15,0,0,14,21,15,0.132166,1.30865,0.0,0.0,2.332,d,1,-1.176,17.225949000000004,24.364369,15
16,Everton,1,16,0,0,14,21,16,1.07081,1.51591,0.0,0.0,1.061,d,1,-0.445,18.296759000000005,25.880279,16
17,Everton,1,17,1,1,15,22,15,0.653289,2.51965,0.0,0.0,2.484,d,1,-1.866,18.95004800000001,28.399929,17
18,Everton,0,17,0,2,15,24,16,0.615191,2.02753,0.0,0.0,0.497,l,0,-1.412,19.565239000000005,30.427459,17
19,Everton,0,17,0,1,15,25,16,0.561015,2.61852,0.0,0.0,2.569,l,0,-2.058,20.126254000000007,33.045979,17
20,Everton,0,17,0,1,15,26,16,1.23126,1.28522,0.0,0.0,1.327,l,0,-0.054,21.357514000000005,34.331199000000005,17
21,Everton,3,20,3,2,18,28,16,2.56089,1.35719,0.0,0.0,2.082,w,3,1.204,23.91840400000001,35.68838900000001,20
22,Everton,3,23,1,0,19,28,16,0.870883,0.64378,0.0,0.0,1.121,w,3,0.227,24.789287000000005,36.33216900000001,23
23,Everton,3,26,4,0,23,28,15,3.11261,0.447136,0.0,0.0,2.745,w,3,2.665,27.901897000000005,36.77930500000001,26
24,Everton,1,27,2,2,25,30,15,0.910523,0.929103,0.0,0.0,1.323,d,1,-0.019,28.812420000000007,37.708408000000006,27
25,Everton,3,30,2,1,27,31,14,1.01565,2.30646,0.0,0.0,2.173,w,3,-1.291,29.828070000000007,40.01486800000001,30
26,Everton,1,31,2,2,29,33,14,2.10444,0.645685,0.0,0.0,2.325,d,1,1.459,31.932510000000008,40.66055300000001,31
27,Everton,1,32,1,1,30,34,16,1.44955,1.34009,0.0,0.0,1.299,d,1,0.109,33.38206000000001,42.00064300000001,32
28,Everton,1,33,1,1,31,35,15,1.3672,0.812432,0.0,0.0,0.946,d,1,0.555,34.74926000000001,42.81307500000001,33
29,Everton,1,34,1,1,32,36,15,1.189,0.516029,0.0,0.0,1.895,d,1,0.673,35.93826000000001,43.329104000000015,34
30,Everton,0,34,0,1,32,37,15,0.823136,1.29718,0.0,0.0,1.716,l,0,-0.474,36.761396000000005,44.62628400000001,34
31,Everton,1,35,1,1,33,38,15,1.22875,1.4031,0.0,0.0,1.248,d,1,-0.174,37.990146,46.029384000000015,35
32,Everton,3,38,1,0,34,38,13,1.26036,0.423949,0.0,0.0,0.672,w,3,0.836,39.250506,46.453333000000015,38
33,Everton,0,38,0,2,34,40,13,0.81683,1.87989,0.0,0.0,0.689,l,0,-1.063,40.067336000000005,48.33322300000002,38
34,Everton,0,38,0,1,34,41,15,0.916838,0.768313,0.0,0.0,1.205,l,0,0.149,40.984174,49.10153600000002,38
35,Everton,1,39,2,2,36,43,14,0.808481,1.14351,0.0,0.0,1.082,d,1,-0.335,41.792655,50.245046000000016,39
36,Everton,3,42,3,1,39,44,13,1.32604,1.20869,0.0,0.0,1.283,w,3,0.117,43.118695,51.45373600000001,42
37,Everton,3,45,2,0,41,44,13,2.67793,1.05025,0.0,0.0,2.313,w,3,1.628,45.796625000000006,52.50398600000001,45
38,Everton,3,48,1,0,42,44,13,1.07279,1.1591,0.0,0.0,1.421,w,3,-0.086,46.869415,53.663086000000014,48
