gw,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,2.6703,2.8047,0.0,0.0,1.48,w,3,-0.134,2.6703,2.8047,3
2,1.31664,1.41399,0.0,0.0,1.305,l,0,-0.097,3.98694,4.2186900000000005,3
3,2.16385,0.774741,0.0,0.0,0.549,w,3,1.389,6.150790000000001,4.993431,6
4,3.15876,0.852158,0.0,0.0,2.576,w,3,2.307,9.309550000000002,5.845589,9
5,2.37351,0.520117,0.0,0.0,2.513,w,3,1.853,11.683060000000001,6.365706,12
6,1.14494,1.84608,0.0,0.0,1.841,d,1,-0.701,12.828000000000001,8.211786,13
7,0.532809,0.448537,0.0,0.0,1.351,d,1,0.084,13.360809000000001,8.660323,14
8,1.43595,2.63074,0.0,0.0,2.068,w,3,-1.195,14.796759000000002,11.291063,17
9,1.974,0.328651,0.0,0.0,2.491,d,1,1.645,16.770759,11.619714,18
10,2.48749,2.09751,0.0,0.0,1.194,l,0,0.39,19.258249000000003,13.717224,18
11,1.66337,2.68196,0.0,0.0,1.961,l,0,-1.019,20.921619000000003,16.399183999999998,18
12,3.04455,1.61437,0.0,0.0,2.149,d,1,1.43,23.966169000000004,18.013554,19
13,0.875443,1.94939,0.0,0.0,2.088,l,0,-1.074,24.841612000000005,19.962944,19
14,3.21673,1.13266,0.0,0.0,2.459,w,3,2.084,28.058342000000003,21.095604,22
15,2.51338,0.385832,0.0,0.0,2.635,w,3,2.128,30.571722000000005,21.481436000000002,25
16,0.389423,2.2861,0.0,0.0,2.564,l,0,-1.897,30.961145000000005,23.767536000000003,25
17,2.05988,1.09627,0.0,0.0,1.996,w,3,0.964,33.02102500000001,24.863806000000004,28
18,0.225522,2.82867,0.0,0.0,2.787,l,0,-2.603,33.24654700000001,27.692476000000003,28
19,1.87997,0.938042,0.0,0.0,2.006,d,1,0.942,35.12651700000001,28.630518000000002,29
20,2.3456,0.81548,0.0,0.0,2.318,w,3,1.53,37.472117000000004,29.445998000000003,32
21,1.28522,1.23126,0.0,0.0,1.327,w,3,0.054,38.75733700000001,30.677258000000002,35
22,1.20602,1.64458,0.0,0.0,1.672,d,1,-0.439,39.96335700000001,32.321838,36
23,0.907851,1.67886,0.0,0.0,0.85,d,1,-0.771,40.87120800000001,34.000698,37
24,0.742809,2.00146,0.0,0.0,2.209,l,0,-1.259,41.61401700000001,36.002158,37
25,2.89841,0.332864,0.0,0.0,2.753,d,1,2.566,44.51242700000001,36.335022,38
26,1.02269,2.04279,0.0,0.0,0.755,d,1,-1.02,45.53511700000001,38.377812000000006,39
27,2.69413,2.17418,0.0,0.0,1.682,w,3,0.52,48.22924700000001,40.551992000000006,42
28,0.667217,4.02522,0.0,0.0,2.814,l,0,-3.358,48.89646400000001,44.577212,42
29,1.29638,0.637743,0.0,0.0,0.841,w,3,0.659,50.19284400000001,45.214955,45
30,1.20715,0.558009,0.0,0.0,0.822,w,3,0.649,51.39999400000001,45.772964,48
31,2.63349,0.96769,0.0,0.0,2.343,w,3,1.666,54.03348400000001,46.740654,51
32,2.99927,0.412256,0.0,0.0,0.174,w,3,2.587,57.03275400000001,47.15291,54
33,3.05371,1.27176,0.0,0.0,2.334,w,3,1.782,60.086464000000014,48.42467,57
34,1.85906,1.36232,0.0,0.0,1.072,l,0,0.497,61.94552400000001,49.786989999999996,57
35,1.29013,0.702787,0.0,0.0,1.809,w,3,0.587,63.23565400000001,50.489777,60
36,1.12376,1.02272,0.0,0.0,1.275,w,3,0.101,64.35941400000002,51.512496999999996,63
37,1.69061,0.523016,0.0,0.0,2.211,w,3,1.168,66.05002400000002,52.035512999999995,66
38,0.335222,2.96259,0.0,0.0,2.764,l,0,-2.627,66.38524600000002,54.99810299999999,66
