gw,xg,xga,npxg,npxga,xpts,result,pts,xgd,cum_xg,cum_xga,cum_pts
1,0.433489,1.95483,0.0,0.0,0.404,w,3,-1.521,0.433489,1.95483,3
2,1.89287,2.53513,0.0,0.0,1.756,d,1,-0.642,2.326359,4.48996,4
3,1.58694,1.63304,0.0,0.0,1.354,w,3,-0.046,3.9132990000000003,6.123,7
4,1.48343,1.46969,0.0,0.0,1.368,w,3,0.014,5.3967290000000006,7.59269,10
5,1.09768,3.21141,0.0,0.0,2.475,l,0,-2.114,6.494409000000001,10.8041,10
6,1.34344,1.26516,0.0,0.0,1.423,d,1,0.078,7.837849000000001,12.06926,11
7,1.79048,0.692214,0.0,0.0,0.641,d,1,1.098,9.628329,12.761474,12
8,1.93657,1.6779,0.0,0.0,1.548,l,0,0.259,11.564899,14.439373999999999,12
9,1.74225,1.61794,0.0,0.0,1.308,l,0,0.124,13.307149,16.057313999999998,12
10,0.859715,0.911305,0.0,0.0,1.291,w,3,-0.052,14.166864,16.968618999999997,15
11,1.86904,1.17852,0.0,0.0,0.943,w,3,0.691,16.035904000000002,18.147138999999996,18
12,1.49781,0.942824,0.0,0.0,1.765,l,0,0.555,17.533714000000003,19.089962999999997,18
13,0.020989,2.29595,0.0,0.0,2.787,d,1,-2.275,17.554703000000003,21.385913,19
14,1.52057,2.22766,0.0,0.0,0.984,d,1,-0.707,19.075273000000003,23.613573,20
15,1.95645,1.746,0.0,0.0,1.267,l,0,0.21,21.031723000000003,25.359572999999997,20
16,3.95461,0.186759,0.0,0.0,2.926,w,3,3.768,24.986333000000002,25.546331999999996,23
17,3.23386,1.06427,0.0,0.0,0.383,w,3,2.17,28.220193000000002,26.610601999999997,26
18,2.82867,0.225522,0.0,0.0,2.787,w,3,2.603,31.048863,26.836123999999998,29
19,2.2424,1.00073,0.0,0.0,0.658,w,3,1.242,33.291263,27.836854,32
20,2.42963,1.00333,0.0,0.0,0.589,w,3,1.426,35.720893000000004,28.840184,35
21,2.13327,1.47433,0.0,0.0,1.79,w,3,0.659,37.85416300000001,30.314514,38
22,0.837801,2.70174,0.0,0.0,0.415,l,0,-1.864,38.691964000000006,33.016253999999996,38
23,3.08319,0.825621,0.0,0.0,0.318,w,3,2.258,41.77515400000001,33.841874999999995,41
24,1.22716,1.60881,0.0,0.0,1.12,l,0,-0.382,43.002314000000005,35.45068499999999,41
25,0.157211,2.12004,0.0,0.0,2.659,l,0,-1.963,43.159525,37.570724999999996,41
26,3.45858,2.38603,0.0,0.0,1.928,w,3,1.073,46.618105,39.956754999999994,44
27,0.45882,1.40027,0.0,0.0,2.092,l,0,-0.941,47.076925,41.35702499999999,44
28,1.62976,0.823986,0.0,0.0,0.812,w,3,0.806,48.706685,42.18101099999999,47
29,2.26584,1.53201,0.0,0.0,1.827,w,3,0.734,50.972525,43.71302099999999,50
30,3.44111,0.354575,0.0,0.0,0.108,w,3,3.087,54.413635,44.06759599999999,53
31,2.6383,0.786568,0.0,0.0,2.449,w,3,1.852,57.051935,44.85416399999999,56
32,2.32947,2.37548,0.0,0.0,1.381,w,3,-0.046,59.381405,47.22964399999999,59
33,1.27176,3.05371,0.0,0.0,2.334,l,0,-1.782,60.653165,50.283353999999996,59
34,4.11539,0.127203,0.0,0.0,2.947,w,3,3.988,64.768555,50.410557,62
35,1.63777,0.687863,0.0,0.0,0.706,d,1,0.95,66.40632500000001,51.09842,63
36,1.6703,0.646426,0.0,0.0,2.103,w,3,1.024,68.076625,51.744845999999995,66
37,2.24634,1.15958,0.0,0.0,0.753,l,0,1.087,70.32296500000001,52.904425999999994,66
38,1.1591,1.07279,0.0,0.0,1.421,l,0,0.086,71.482065,53.97721599999999,66
